ID,Clip Seconds,Year Estimate,Short Description,Keywords,TODO,Media Commons URL,Archives Reel
2.01.01,0:00-0:27,Unknown,"Unknown man stands in front of band members, view of stands",closeup,old field?,"https://mediacommons.unl.edu/luna/servlet/detail/UNL~35~35~1676~1464449:Donald-A--Lentz-and-Gary-Steffens,-?qvq=q:marching%20band%20steffens&mi=13&trs=19",130815-2-01
2.01.02,0:27-2:20,Unknown,Football,football,should we include?,"https://mediacommons.unl.edu/luna/servlet/detail/UNL~35~35~1676~1464449:Donald-A--Lentz-and-Gary-Steffens,-?qvq=q:marching%20band%20steffens&mi=13&trs=19",130815-2-01
2.01.03,2:20-3:58,Unknown,John G. Neihardt and others,,"should we include? might be fun to mention in some essay on the site or something instead, like while telling the story of the reel digitization","https://mediacommons.unl.edu/luna/servlet/detail/UNL~35~35~1676~1464449:Donald-A--Lentz-and-Gary-Steffens,-?qvq=q:marching%20band%20steffens&mi=13&trs=19",130815-2-01
2.02.01,0:00-1:10,1927,Drill and card section from NYU game,drill; card section,parade tag?,"https://mediacommons.unl.edu/luna/servlet/detail/UNL~35~35~1684~1464451:Donald-A--Lentz-and-Gary-Steffens,-?qvq=q:marching%20band%20steffens&mi=12&trs=19",130815-2-02
2.02.02,1:10-2:37,1928,"Missouri game drill, card section, N on field",drill; card section,parade tag?,"https://mediacommons.unl.edu/luna/servlet/detail/UNL~35~35~1684~1464451:Donald-A--Lentz-and-Gary-Steffens,-?qvq=q:marching%20band%20steffens&mi=12&trs=19",130815-2-02
2.02.03,2:38-3:05,1930,"Pittsburgh game Auburn band and Pershing Rifles, N on field for halftime",guest band; halftime; drill,,"https://mediacommons.unl.edu/luna/servlet/detail/UNL~35~35~1684~1464451:Donald-A--Lentz-and-Gary-Steffens,-?qvq=q:marching%20band%20steffens&mi=12&trs=19",130815-2-02
2.03.01,0:00-2:14,1952,"Band entering field, homecoming halftime show",drill; card section; halftime; homecoming; closeup,,"https://mediacommons.unl.edu/luna/servlet/detail/UNL~35~35~1672~1464453:Donald-A--Lentz-and-Gary-Steffens,-?qvq=q:marching%20band%20steffens&mi=8&trs=19",130815-2-03
2.03.02,2:14-5:37,1952,"Campus, fans arriving at stadium, football team entrance, Tassels and Corncob cheerleading",campus; cheerleaders; closeup; tunnel walk,,"https://mediacommons.unl.edu/luna/servlet/detail/UNL~35~35~1672~1464453:Donald-A--Lentz-and-Gary-Steffens,-?qvq=q:marching%20band%20steffens&mi=8&trs=19",130815-2-03
2.03.03,5:37-8:18,1952,"Band lining up, band day instruments, Tassels, performance, football team arrives, crowd cheers, pep band",cheerleaders; drill; closeup; tunnel walk; band day; pep band,confirm Tassels / Corncobs,"https://mediacommons.unl.edu/luna/servlet/detail/UNL~35~35~1672~1464453:Donald-A--Lentz-and-Gary-Steffens,-?qvq=q:marching%20band%20steffens&mi=8&trs=19",130815-2-03
2.04.01,0:00-0:52,1952,Band entering field and marching along sidelines,closeup; drill,,"https://mediacommons.unl.edu/luna/servlet/detail/UNL~35~35~1673~1464455:Donald-A--Lentz-and-Gary-Steffens,-?qvq=q:marching%20band%20steffens&mi=1&trs=19",130815-2-04
