01-1261,MUSIC,ROSE JOHNSON,BAND MEMBERS REHEARSING,Color,
04-0530,CHANCELLOR’S OFFICE,,CHANC PERLMAN WITH BAND MEMBERS FOR HOLIDAY CARD,Color,
06-0234A,ATHLETICS/FOOTBALL,,"UNL VS. LOUISIANA TECH 9/2/06, ALUMNI BAND",ColorEvent,CD
06-0234A,ATHLETICS/FOOTBALL,,"UNL VS. LOUISIANA TECH 9/2/06, ALUMNI BAND",ColorEvent,CD
31-3118,BAND,,"BAND, GROUP",,8X10
35-4213,BAND ,,PHIL KLEPPINGER IN BAND UNIFORM,Portrait,
35-4214,BAND,,R. MIDDLEHAUF IN BAND UNIFORM,Portrait,
35-4225,MUSIC,,BAND - COLISEUM,,8X10
37-6013,MARGUERITE HAG,,RHYTHM BAND  -  GROUP,Portrait,8X10
39-14054,CH,,FRESHMAN  BAND  -  GROUP,Portrait,8X10
39-15088,ROTC,,BAND CONCERT IN COLISEUM,Portrait,8X10
40-17244,MUSIC,,R.O.T.C. BAND,Portrait,8X10
40-17501,MUSIC,,BAND FORMATIONS - INDIANA GAME,Copy Neg,8X10
40-17505,MUSIC,,BAND & FOOTBALL - MISSOURI GAME,Copy Neg,
40-17505A,MUSIC,,BAND & FOOTBALL - MISSOURI GAME,Copy Neg,8X10
40-17505B,FOOTBALL,,"BAND FORMATIONS AND FOOTBALL ACTION, UNL VS. MISSOURI 10/26/1940",,
40-17554,MUSIC,,BAND FORMATIONS - KANSAS STATE GAME,Copy Neg,8X10
41-17679,MUSIC,,R.O.T.C.  CONCERT BAND,Copy Neg,8X10
41-17964,MUSIC,,BAND DAY - MASS BANDS ON FIELD - H.S. BANDS AT SO END OF BLEACHERS,Copy Neg,
41-17965,MUSIC,,BAND FORMATION - INDIANA GAME,Copy Neg,
41-17996,MUSIC,,BAND & CAR SECTION - PITT & NE GAME,Copy Neg,4X5
42-18103,MUSIC,,R.O.T.C. CONCERT BAND,Copy NegPortrait,8X10
42-18358,VISUAL EDUCATION,,INDIANA/NE GAME BAND FORMATIONS,Copy Neg,4X5
43-18476,SCHOOL OF MUSIC,,R.O.T.C.  CONCERT BAND,Copy Neg,8X10
